Nome do circuito: circ_teste
a0 | b0 | a1 | b1 | s0 | s1 | c
----------------------------
0 | 0 | 0 | 0 | 0 | 0 | 0
0 | 0 | 0 | 1 | 0 | 1 | 0
0 | 0 | 1 | 0 | 0 | 1 | 0
0 | 0 | 1 | 1 | 0 | 0 | 1
0 | 1 | 0 | 0 | 1 | 0 | 0
0 | 1 | 0 | 1 | 1 | 1 | 0
0 | 1 | 1 | 0 | 1 | 1 | 0
0 | 1 | 1 | 1 | 1 | 0 | 1
1 | 0 | 0 | 0 | 1 | 0 | 0
1 | 0 | 0 | 1 | 1 | 1 | 0
1 | 0 | 1 | 0 | 1 | 1 | 0
1 | 0 | 1 | 1 | 1 | 0 | 1
1 | 1 | 0 | 0 | 0 | 1 | 0
1 | 1 | 0 | 1 | 0 | 0 | 1
1 | 1 | 1 | 0 | 0 | 0 | 1
1 | 1 | 1 | 1 | 0 | 1 | 1
